-31.847,-106.63,2
-105.83,31.609,4
-1.626,-1.3823,3
-1.3629,1.5683,3
-0.43012,1.3844,3
1.0186,1.5209,1
-0.83554,1.3172,3
0.54546,-0.47219,1
0.6954,1.1608,1
-0.71354,1.5988,3
1.3339,-1.0085,1
-1.5809,2.3485,3
-0.031369,-0.79405,1
1.8053,-1.1589,1
1.0289,0.0084216,1
-1.4998,1.4923,3
1.3263,2.0147,1
-0.64193,-2.0441,3
1.0086,-1.7808,1
0.98998,1.0718,1
1.6398,-1.5994,1
-1.4208,-1.8683,3
-0.96991,-0.87283,3
-1.0871,1.133,3
-0.044147,-0.72947,1
0.023798,1.009,1
-1.6454,-2.2976,3
0.75364,-0.45964,1
0.62744,-0.92211,1
1.2464,-0.87839,1
-0.86674,-1.0485,3
-1.1555,1.4391,3
0.60367,0.95691,1
1.1037,-1.9144,1
-1.1184,-0.61926,3
-0.88844,1.7653,3
1.3118,0.84433,1
0.63688,1.3574,1
1.2857,-1.246,1
-1.7335,-1.0981,3
-1.266,1.4849,3
0.36886,0.70678,1
0.80587,1.6442,1
0.59198,-1.5911,1
0.4239,0.25334,1
-1.1808,1.059,3
-0.46243,-0.99515,3
-0.72673,-0.81339,3
0.8966,0.74569,1
-1.207,-0.48395,3
0.96851,1.4004,1
-0.92295,-1.5457,3
-1.1279,-0.36227,3
2.2178,-1.1651,1
-0.94983,1.4418,3
1.0639,0.068904,1
1.0114,-0.48518,1
-0.28895,-1.2661,3
0.63769,0.3978,1
-2.265,1.0116,3
-1.0626,-0.8139,3
-1.2555,0.13991,3
-0.31878,1.9646,3
-0.31271,0.28649,3
-1.9344,1.036,3
-0.31285,-1.3711,3
1.1846,1.3322,1
-1.2316,-0.3448,3
-1.386,-0.88303,3
-1.1233,0.44144,3
1.1305,0.73463,1
-1.1606,0.95128,3
-1.3658,0.98665,3
-1.3825,1.2165,3
0.50508,1.3171,1
1.4384,-1.8557,1
1.4008,-0.91978,1
-0.65758,1.4007,3
-0.87677,-0.58787,3
-1.9276,1.6068,3
2.0029,1.1877,1
-0.38751,0.7097,3
0.28964,-0.77948,1
-0.91591,-1.2965,3
1.3056,0.79123,1
-1.0307,-0.76681,3
-0.95295,-1.0027,3
-1.5474,1.5264,3
-0.90898,0.87519,3
-1.0896,1.3542,3
0.55931,0.99516,1
-1.3133,-0.81653,3
-1.0162,1.4164,3
-1.3538,0.83526,3
0.49164,1.03,1
-1.4409,0.93885,3
-1.8454,-0.80317,3
-0.66819,1.8802,3
-1.1523,-1.6924,3
1.1099,1.2382,1
